# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	80100001	80200000	1075
1	80200001	80300000	1095
1	80300001	80400000	1115
1	80400001	80500000	1111
1	80500001	80600000	1155
1	80600001	80700000	1175
1	80700001	80800000	1195
1	80800001	80900000	1215
1	80900001	81000000	1235
1	81000001	81100000	NaN
1	81100001	81200000	1255
1	81200001	81300000	1275
1	81300001	81400000	1293
1	81400001	81500000	1297
1	81500001	81600000	1319
1	81600001	81700000	1317
1	81700001	81800000	1305
1	81800001	81900000	1365
1	81900001	82000000	1369
1	82000001	82100000	1345
1	82100001	82200000	1309
1	82200001	82300000	1250
1	82300001	82400000	1204
1	82400001	82500000	1274
1	82500001	82600000	1255
1	82600001	82700000	1235
1	82700001	82800000	1190
1	82800001	82900000	NaN
1	82900001	83000000	1195
1	83000001	83100000	NaN
1	83100001	83200000	NaN
1	83200001	83300000	NaN
1	83300001	83400000	1175
1	83400001	83500000	1155
1	83500001	83600000	1094
1	83600001	83700000	1100
1	83700001	83800000	NaN
1	83800001	83900000	1036
1	83900001	84000000	NaN
1	84000001	84100000	1059
1	84100001	84200000	1038
1	84200001	84300000	1017
1	84300001	84400000	987
1	84400001	84500000	957
1	84500001	84600000	872
1	84600001	84700000	919
1	84700001	84800000	882
1	84800001	84900000	769
1	84900001	85000000	685
1	85000001	85100000	585
1	85100001	85200000	572
1	85200001	85300000	527
1	85300001	85400000	614
1	85400001	85500000	649
1	85500001	85600000	623
1	85600001	85700000	468
1	85700001	85800000	384
1	85800001	85900000	274
1	85900001	86000000	308
1	86000001	86100000	226
1	86100001	86200000	345
1	86200001	86300000	411
1	86300001	86400000	510
1	86400001	86500000	717
1	86500001	86600000	860
1	86600001	86700000	863
1	86700001	86800000	913
1	86800001	86900000	874
1	86900001	87000000	762
1	87000001	87100000	692
1	87100001	87200000	617
1	87200001	87300000	393
1	87300001	87400000	372
1	87400001	87500000	410
1	87500001	87600000	515
1	87600001	87700000	583
